kind,ticker,cik,company,form,file_date,accession_id,captured_at
going_private,KW,0001408100,"Kennedy-Wilson Holdings, Inc.",SC 13E3/A,2026-04-27,0001140361-26-016849,2026-04-27T22:50:39Z
cybersecurity,MMED,0002062583,"MiniMed Group, Inc.",8-K,2026-04-27,0001104659-26-049045,2026-04-27T22:50:39Z
cybersecurity,MDT,0001613103,Medtronic plc,8-K,2026-04-27,0001628280-26-027272,2026-04-27T22:50:39Z
material_weakness,MOG-A,0000067887,MOOG INC.,10-Q,2026-04-24,0001628280-26-027064,2026-04-27T22:50:39Z
material_weakness,,,Redwood Mortgage Investors IX  (CIK 0001448038),8-K,2026-04-24,0001193125-26-177632,2026-04-27T22:50:39Z
impairment_charge,INTC,0000050863,INTEL CORP,10-Q,2026-04-24,0000050863-26-000079,2026-04-27T22:50:39Z
impairment_charge,GNTX,0000355811,GENTEX CORP,8-K,2026-04-24,0000355811-26-000021,2026-04-27T22:50:39Z
going_private,MCW,0001853513,"Mister Car Wash, Inc.",SC 13E3/A,2026-04-24,0001193125-26-174877,2026-04-27T22:50:39Z
cybersecurity,NSC,0000702165,NORFOLK SOUTHERN CORP,8-K,2026-04-24,0001193125-26-175084,2026-04-27T22:50:39Z
cybersecurity,EFX,0000033185,EQUIFAX INC,8-K,2026-04-24,0001193125-26-177620,2026-04-27T22:50:39Z
material_weakness,FGI,0001864943,FGI Industries Ltd.,8-K,2026-04-23,0001628280-26-026841,2026-04-27T22:50:39Z
impairment_charge,MCO,0001059556,MOODYS CORP /DE/,10-Q,2026-04-23,0001628280-26-026848,2026-04-27T22:50:39Z
impairment_charge,HON,0000773840,HONEYWELL INTERNATIONAL INC,8-K,2026-04-23,0000773840-26-000055,2026-04-27T22:50:39Z
impairment_charge,HELE,0000916789,HELEN OF TROY LTD,10-K,2026-04-23,0000916789-26-000048,2026-04-27T22:50:39Z
cybersecurity,UNP,0000100885,UNION PACIFIC CORP,8-K,2026-04-23,0000100885-26-000154,2026-04-27T22:50:39Z
cybersecurity,KN,0001587523,Knowles Corp,8-K,2026-04-23,0001587523-26-000016,2026-04-27T22:50:39Z
cybersecurity,HTH,0001265131,Hilltop Holdings Inc.,8-K,2026-04-23,0001104659-26-047743,2026-04-27T22:50:39Z
cybersecurity,HON,0000773840,HONEYWELL INTERNATIONAL INC,8-K,2026-04-23,0000773840-26-000058,2026-04-27T22:50:39Z
